XML File Name,Issue URL
spring-petclinic-rest_Issue220.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/220
spring-petclinic-rest_Issue194.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/194
spring-petclinic-rest_Issue187.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/187
spring-petclinic-rest_Issue182.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/182
spring-petclinic-rest_Issue165.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/165
spring-petclinic-rest_Issue164.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/164
spring-petclinic-rest_Issue149.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/149
spring-petclinic-rest_Issue148.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/148
spring-petclinic-rest_Issue145.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/145
spring-petclinic-rest_Issue140.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/140
spring-petclinic-rest_Issue131.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/131
spring-petclinic-rest_Issue130.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/130
spring-petclinic-rest_Issue102.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/102
spring-petclinic-rest_Issue93.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/93
spring-petclinic-rest_Issue89.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/89
spring-petclinic-rest_Issue87.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/87
spring-petclinic-rest_Issue86.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/86
spring-petclinic-rest_Issue83.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/83
spring-petclinic-rest_Issue81.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/81
spring-petclinic-rest_Issue69.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/69
spring-petclinic-rest_Issue65.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/65
spring-petclinic-rest_Issue64.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/64
spring-petclinic-rest_Issue63.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/63
spring-petclinic-rest_Issue61.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/61
spring-petclinic-rest_Issue45.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/45
spring-petclinic-rest_Issue37.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/37
spring-petclinic-rest_Issue17.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/17
spring-petclinic-rest_Issue13.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/13
spring-petclinic-rest_Issue12.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/12
spring-petclinic-rest_Issue10.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/10
spring-petclinic-rest_Issue9.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/9
spring-petclinic-rest_Issue8.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/8
spring-petclinic-rest_Issue7.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/7
spring-petclinic-rest_Issue6.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/6
spring-petclinic-rest_Issue3.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/3
spring-petclinic-rest_Issue1.xml,https://github.com/spring-petclinic/spring-petclinic-rest/issues/1
